onset	duration	trial_type	response_time	stim_file	value	sample	stage	trial	bci_prediction	n_repeated	latency
740.9656	0	left	83.3333333333	left_hand.png	1.0	3704828.0	2	24	right	1	0.8
745.6194	0	right	116.666666667	left_hand.png	2.0	3728097.0	2	25	right	1	-19.4
750.273	0	right	116.666666667	left_hand.png	2.0	3751365.0	2	26	right	1	-13.8
754.8764	0	left	66.6666666667	left_hand.png	1.0	3774382.0	2	27	right	1	-34.8
759.4964	0	left	83.3333333333	left_hand.png	1.0	3797482.0	2	28	right	1	-26.6
764.1998	0	left	166.66666666700002	left_hand.png	1.0	3820999.0	2	29	right	1	-14.2
768.7538	0	left	16.6666666667	left_hand.png	1.0	3843769.0	2	30	right	1	-3.4
773.4068	0	right	116.666666667	right_hand.png	2.0	3867034.0	2	31	left	1	-5.2
778.0276	0	right	83.3333333333	left_hand.png	2.0	3890138.0	2	32	right	1	-18.0
782.7144	0	right	150.0	left_hand.png	2.0	3913572.0	2	33	right	1	5.6
787.2848	0	right	33.3333333333	right_hand.png	2.0	3936424.0	2	34	left	1	-33.6
791.9716	0	left	150.0	left_hand.png	1.0	3959858.0	2	35	right	1	-10.0
796.6252	0	right	116.666666667	right_hand.png	2.0	3983126.0	2	36	left	1	-4.4
801.2118	0	right	50.0	left_hand.png	2.0	4006059.0	2	37	right	1	-8.6
809.4848	0	right	33.3333333333	left_hand.png	2.0	4047424.0	2	38	right	2	-38.4
814.1886	0	left	116.666666667	right_hand.png	1.0	4070943.0	2	39	left	2	-31.8
818.742	0	left	16.6666666667	left_hand.png	1.0	4093710.0	2	40	right	2	0.8
823.3624	0	right	83.3333333333	left_hand.png	2.0	4116812.0	2	41	right	2	-15.2
828.0494	0	right	150.0	left_hand.png	2.0	4140247.0	2	42	right	2	8.2
832.7068	0	left	116.666666667	right_hand.png	1.0	4163534.0	2	43	left	2	-15.6
837.3894	0	left	150.0	right_hand.png	1.0	4186947.0	2	44	left	2	-15.8
842.0930000000002	0	left	166.66666666700002	right_hand.png	1.0	4210465.0	2	45	left	2	-6.6
846.7302	0	left	100.0	right_hand.png	1.0	4233651.0	2	46	left	2	-10.2
851.4212	0	right	150.0	left_hand.png	2.0	4257106.0	2	47	right	2	-16.4
856.0746	0	right	116.666666667	left_hand.png	2.0	4280373.0	2	48	right	2	-10.6
860.6572	0	right	50.0	left_hand.png	2.0	4303286.0	2	49	right	2	-7.0
865.3442	0	right	150.0	right_hand.png	2.0	4326721.0	2	50	left	2	-32.4
869.9644	0	right	83.3333333333	left_hand.png	2.0	4349822.0	2	51	right	2	0.4
874.635	0	right	133.33333333299998	left_hand.png	2.0	4373175.0	2	52	right	2	-11.0
879.326	0	left	150.0	left_hand.png	1.0	4396630.0	2	53	right	2	-17.2
888.1619999999998	0	right	133.33333333299998	left_hand.png	2.0	4440810.0	2	54	right	3	4.4
892.7489999999998	0	right	50.0	left_hand.png	2.0	4463745.0	2	55	right	3	-20.6
897.4526	0	left	166.66666666700002	left_hand.png	1.0	4487263.0	2	56	right	3	6.6
902.0226	0	left	33.3333333333	right_hand.png	1.0	4510113.0	2	57	left	3	-6.6
912.0678	0	right	133.33333333299998	right_hand.png	2.0	4560339.0	2	58	left	4	-16.6
916.6504	0	left	50.0	left_hand.png	1.0	4583252.0	2	59	right	4	-2.6
925.7948	0	left	50.0	left_hand.png	1.0	4628974.0	2	60	right	5	3.6
930.411	0	left	83.3333333333	right_hand.png	1.0	4652055.0	2	61	left	5	-4.6
934.9808	0	left	33.3333333333	right_hand.png	1.0	4674904.0	2	62	left	5	-17.6
939.5512	0	right	33.3333333333	left_hand.png	2.0	4697756.0	2	63	right	5	-21.0
948.442	0	right	183.33333333299998	left_hand.png	2.0	4742210.0	2	64	right	6	-34.0
953.0952	0	right	116.666666667	left_hand.png	2.0	4765476.0	2	65	right	6	-7.2
957.7362	0	right	100.0	left_hand.png	2.0	4788681.0	2	66	right	6	-14.6
962.3858	0	right	116.666666667	left_hand.png	2.0	4811929.0	2	67	right	6	-30.6
967.0266	0	right	100.0	left_hand.png	2.0	4835133.0	2	68	right	6	-12.2
971.7094	0	right	150.0	left_hand.png	2.0	4858547.0	2	69	right	6	-10.2
976.3296	0	left	83.3333333333	right_hand.png	1.0	4881648.0	2	70	left	6	-22.4
981.1	0	left	66.6666666667	left_hand.png	1.0	4905500.0	2	71	right	6	-7.4
985.7536	0	left	116.666666667	right_hand.png	1.0	4928768.0	2	72	left	6	0.0
990.4572	0	right	166.66666666700002	left_hand.png	2.0	4952286.0	2	73	right	6	-8.0
999.5348	0	right	183.33333333299998	left_hand.png	2.0	4997674.0	2	74	right	7	-34.0
1004.1846	0	right	116.666666667	right_hand.png	2.0	5020923.0	2	75	left	7	-24.6
1013.1786	0	left	66.6666666667	left_hand.png	1.0	5065893.0	2	76	right	8	-33.0
